month;reg_month_country;leaving_month_country;reg_acc;leave_acc;reg_rate_month;leave_rate_month;reg_rate;leave_rate
1;371;3;371;3;.000038;3.07e-07;.000038;3.07e-07
2;1595;24;1966;27;.0001634;2.46e-06;.0002014;2.77e-06
3;1224;45;3190;72;.0001254;4.61e-06;.0003268;7.38e-06
4;1540;31;4730;103;.0001578;3.18e-06;.0004845;.0000106
5;1417;49;6147;152;.0001452;5.02e-06;.0006297;.0000156
6;1119;45;7266;197;.0001146;4.61e-06;.0007443;.0000202
7;935;32;8201;229;.0000958;3.28e-06;.0008401;.0000235
8;1033;39;9234;268;.0001058;3.99e-06;.0009459;.0000275
9;805;26;10039;294;.0000825;2.66e-06;.0010283;.0000301
10;1044;30;11083;324;.0001069;3.07e-06;.0011353;.0000332
11;1119;62;12202;386;.0001146;6.35e-06;.0012499;.0000395
12;1063;42;13265;428;.0001089;4.30e-06;.0013588;.0000438
13;1094;41;14359;469;.0001121;4.20e-06;.0014709;.000048
14;1352;45;15711;514;.0001385;4.61e-06;.0016094;.0000527
15;1110;48;16821;562;.0001137;4.92e-06;.0017231;.0000576
16;1282;44;18103;606;.0001313;4.51e-06;.0018544;.0000621
17;1701;44;19804;650;.0001742;4.51e-06;.0020286;.0000666
18;1961;54;21765;704;.0002009;5.53e-06;.0022295;.0000721
19;1537;53;23302;757;.0001574;5.43e-06;.0023869;.0000775
20;1785;52;25087;809;.0001828;5.33e-06;.0025698;.0000829
21;1640;38;26727;847;.000168;3.89e-06;.0027378;.0000868
22;1405;51;28132;898;.0001439;5.22e-06;.0028817;.000092
23;2081;147;30213;1045;.0002132;.0000151;.0030949;.000107
24;2121;73;32334;1118;.0002173;7.48e-06;.0033121;.0001145
25;2091;50;34425;1168;.0002142;5.12e-06;.0035263;.0001196
26;1407;44;35832;1212;.0001441;4.51e-06;.0036705;.0001242
27;1339;46;37171;1258;.0001372;4.71e-06;.0038076;.0001289
28;1710;48;38881;1306;.0001752;4.92e-06;.0039828;.0001338
29;1903;41;40784;1347;.0001949;4.20e-06;.0041777;.000138
30;2239;53;43023;1400;.0002294;5.43e-06;.0044071;.0001434
31;1748;48;44771;1448;.0001791;4.92e-06;.0045861;.0001483
32;2660;49;47431;1497;.0002725;5.02e-06;.0048586;.0001533
33;2284;40;49715;1537;.000234;4.10e-06;.0050926;.0001574
34;2288;51;52003;1588;.0002344;5.22e-06;.0053269;.0001627
35;2862;78;54865;1666;.0002932;7.99e-06;.0056201;.0001707
36;2736;75;57601;1741;.0002803;7.68e-06;.0059004;.0001783
37;2011;47;59612;1788;.000206;4.81e-06;.0061064;.0001832
38;1592;27;61204;1815;.0001631;2.77e-06;.0062695;.0001859
39;1839;53;63043;1868;.0001884;5.43e-06;.0064578;.0001913
40;1950;29;64993;1897;.0001997;2.97e-06;.0066576;.0001943
41;2353;79;67346;1976;.000241;8.09e-06;.0068986;.0002024
42;33113;55;100459;2031;.0033919;5.63e-06;.0102905;.000208
43;75759;106;176218;2137;.0077604;.0000109;.0180509;.0002189
44;44608;156;220826;2293;.0045694;.000016;.0226204;.0002349
45;72895;145;293721;2438;.007467;.0000149;.0300874;.0002497
46;33644;174;327365;2612;.0034463;.0000178;.0335337;.0002676
47;78268;141;405633;2753;.0080174;.0000144;.0415511;.000282
48;89132;236;494765;2989;.0091303;.0000242;.0506814;.0003062
49;76238;321;571003;3310;.0078095;.0000329;.0584909;.0003391
50;35310;278;606313;3588;.003617;.0000285;.0621079;.0003675
51;38642;268;644955;3856;.0039583;.0000275;.0660662;.000395
52;33659;250;678614;4106;.0034479;.0000256;.069514;.0004206
53;71614;243;750228;4349;.0073358;.0000249;.0768498;.0004455
54;109409;364;859637;4713;.0112073;.0000373;.0880572;.0004828
55;73112;386;932749;5099;.0074893;.0000395;.0955464;.0005223
56;104323;510;1037072;5609;.0106864;.0000522;.1062328;.0005746
57;91857;582;1128929;6191;.0094094;.0000596;.1156422;.0006342
58;88523;806;1217452;6997;.0090679;.0000826;.1247101;.0007167
59;77626;817;1295078;7814;.0079516;.0000837;.1326617;.0008004
60;86550;1152;1381628;8966;.0088658;.000118;.1415275;.0009184
61;89758;1355;1471386;10321;.0091944;.0001388;.1507219;.0010572
62;75528;1602;1546914;11923;.0077367;.0001641;.1584586;.0012213
63;73252;1719;1620166;13642;.0075036;.0001761;.1659622;.0013974
64;67446;1902;1687612;15544;.0069089;.0001948;.1728711;.0015923
65;72065;2341;1759677;17885;.007382;.0002398;.1802531;.0018321
66;64328;2637;1824005;20522;.0065895;.0002701;.1868425;.0021022
67;65642;2757;1889647;23279;.0067241;.0002824;.1935666;.0023846
68;73689;4315;1963336;27594;.0075484;.000442;.201115;.0028266
69;51872;4128;2015208;31722;.0053135;.0004229;.2064285;.0032495
70;55886;4617;2071094;36339;.0057247;.0004729;.2121532;.0037224
71;47966;4617;2119060;40956;.0049134;.0004729;.2170666;.0041953
72;48062;5017;2167122;45973;.0049232;.0005139;.2219898;.0047093
73;25883;5784;2193005;51757;.0026513;.0005925;.2246412;.0053017
74;25473;5427;2218478;57184;.0026093;.0005559;.2272505;.0058577
75;39379;6009;2257857;63193;.0040338;.0006155;.2312843;.0064732
76;18930;5131;2276787;68324;.0019391;.0005256;.2332234;.0069988
77;23646;5688;2300433;74012;.0024222;.0005827;.2356456;.0075814
78;27665;5389;2328098;79401;.0028339;.000552;.2384795;.0081335
79;29819;5918;2357917;85319;.0030545;.0006062;.241534;.0087397
80;33609;7737;2391526;93056;.0034427;.0007925;.2449767;.0095322
81;30912;8010;2422438;101066;.0031665;.0008205;.2481432;.0103527
82;33180;14055;2455618;115121;.0033988;.0014397;.251542;.0117925
83;28163;10424;2483781;125545;.0028849;.0010678;.2544269;.0128602
84;21460;7696;2505241;133241;.0021983;.0007883;.2566251;.0136486
85;11759;6974;2517000;140215;.0012045;.0007144;.2578297;.014363
86;34656;7633;2551656;147848;.00355;.0007819;.2613797;.0151449
87;20053;7984;2571709;155832;.0020541;.0008178;.2634338;.0159627
88;24854;7056;2596563;162888;.0025459;.0007228;.2659798;.0166855
89;29726;8246;2626289;171134;.003045;.0008447;.2690248;.0175302
90;33805;8721;2660094;179855;.0034628;.0008933;.2724876;.0184235
91;9793;8508;2669887;188363;.0010031;.0008715;.2734907;.019295
92;34903;10087;2704790;198450;.0035753;.0010333;.277066;.0203283
93;45470;10553;2750260;209003;.0046577;.001081;.2817238;.0214093
94;24499;12145;2774759;221148;.0025096;.0012441;.2842333;.0226534
95;25183;10984;2799942;232132;.0025796;.0011251;.286813;.0237785
96;17383;12393;2817325;244525;.0017806;.0012695;.2885936;.025048
97;15784;13185;2833109;257710;.0016168;.0013506;.2902104;.0263986
98;21396;14371;2854505;272081;.0021917;.0014721;.2924021;.0278707
99;21176;17122;2875681;289203;.0021692;.0017539;.2945713;.0296246
100;16428;17532;2892109;306735;.0016828;.0017959;.2962541;.0314205
101;16808;19627;2908917;326362;.0017217;.0020105;.2979758;.033431
102;16298;22451;2925215;348813;.0016695;.0022998;.2996453;.0357308
103;14147;25388;2939362;374201;.0014492;.0026006;.3010945;.0383314
104;14393;28437;2953755;402638;.0014744;.002913;.3025688;.0412444
105;10468;26184;2964223;428822;.0010723;.0026822;.3036411;.0439265
106;9075;28900;2973298;457722;.0009296;.0029604;.3045707;.0468869
107;8479;26390;2981777;484112;.0008685;.0027033;.3054393;.0495902
