cityid,month
379,43
380,47
381,54
382,47
383,47
384,47
385,47
386,56
387,54
388,54
389,54
390,56
391,56
392,56
393,47
394,54
395,54
396,56
397,47
398,54
399,56
1682,45
1702,43
1722,54
1742,54
1762,54
1782,54
1802,54
1822,56
1842,54
1862,56
1882,54
1902,54
1922,60
1942,45
1962,54
1982,54
2002,56
2003,43
2022,54
2023,56
2042,54
2062,54
2063,56
2082,54
2083,56
2084,56
2102,56
2103,56
2104,56
2105,56
2122,54
2142,61
2143,54
2144,56
2145,61
2146,56
2147,56
2342,43
2343,54
2742,61
2743,56
2744,45
2942,54
2943,54
2944,54
3142,56
3143,56
3342,57
3542,61
3543,61
3742,54
3942,56
3943,54
3944,61
3945,57
4142,56
4143,54
4144,54
4342,61
4542,54
4543,56
4544,54
4742,56
4743,56
4744,56
4942,54
5142,54
5143,54
5144,54
5145,61
5342,54
5343,54
5344,56
5345,56
5346,56
5542,56
5543,54
5742,54
5743,54
5942,54
6142,61
6143,54
6144,68
6145,56
6146,60
6342,56
6343,55
6542,49.5
6543,54
6742,56
6743,61
6744,56
6745,56
6746,56
6747,56
6942,54
7142,56
7143,63
7144,56
7145,54
7343,58
7542,56
7742,56
7743,54
7942,54
7943,68
7944,56
8142,56
8143,54
8144,61
8145,68
8342,54
8343,55
8344,56
8345,61
8542,58
8543,64
8544,56
8742,57
8743,61
8744,56
8745,58
8942,56
8943,56
8945,56
8946,56
8947,56
8948,56
9142,54
9143,54
9144,61
9145,54
9146,54
9342,48
9343,58.5
9542,54
9544,54
9545,47
9546,56
9742,61
9942,54
9943,56
9944,58
9945,56
9946,57
9947,54
9948,45
9949,58
9950,45
9951,56
9952,57
9953,54
9954,54
9955,55
10142,54
10342,54
10343,58
10344,60
10345,61
10346,56
10542,54
10742,56
10743,67
10744,58
10745,68
10746,61
10942,57
10943,54
10944,48
10945,61
10946,61
10947,56
10948,56
10949,56
11142,54
11143,57
11144,58
11145,56
11146,54
11147,61
11342,61
11343,60.5
11344,54
11345,56
11346,57
11347,61
11348,54
11542,63
11543,58.5
11544,61
11545,56
11742,60
11743,57
11744,51.5
11942,56
12342,56
12343,43
12542,68
12543,57
12544,54
12545,56
12546,47
12547,45
12548,56
12549,58
12550,56
12742,56
12743,45
12744,61
12942,68
12943,48
13142,57
13342,58
13542,47
13543,61
13544,61
13742,60
13743,56
13744,56
13745,54
13746,57
13942,54
13943,56
14142,56
14143,56
14144,67
14145,54
14342,70
14343,52
14344,54
14346,60
14347,56
14542,56
14543,54
14544,60
14742,70
14743,48
14744,56
14745,59
14746,61
14747,93
14748,68
14749,57
14750,56
14751,51.5
14752,56
14753,62
14754,56
14755,60
14756,67
14757,70
14758,61
14759,56
14760,56
14761,55
14942,54
14943,53
15142,65
15143,54
15144,70
15145,58
15146,75
15147,60
15342,57
15343,61
15344,56
15542,57
15544,61
15545,58.5
15546,56.5
15742,56
15942,56
15943,48
15944,61
15945,60
16143,60
16144,58
16342,61
16343,56
16344,66
16346,68
16348,68
16349,66
16350,60
16351,68
16353,54
16354,57
16355,68.5
16356,54
16542,68
16543,61
16544,57
16545,61
16546,61
16547,66
16548,58
16549,68
16550,66
16551,60
16552,65
16554,54
16555,56
16556,56
16557,54
16743,56
16744,56
16745,70
16746,68
16747,60
16748,68
16749,54
16750,72
16751,61
16752,70
16754,71.5
16755,57
16756,57
16757,58
16942,60.5
16943,68
16944,60
16945,57.5
16946,56
16947,56
16948,57
16949,68
17142,54
17143,68
17144,62
17145,54
17146,67
17147,60
17148,54
17149,62
17150,62
17151,56
17152,56
17153,68
17154,56
17155,56
17156,54
17157,57
17158,60
17159,66
17160,54
17161,47
17342,57
17343,62
17344,68
17542,54
17742,68
17743,56
17744,55
17745,61
17942,57
18142,67
18542,68
18543,56
18544,59.5
18742,59.5
18743,59
18942,58
19142,67
19143,63
19144,51.5
19145,58
19342,67
19343,69
19344,43
19345,56
19346,56
19347,92
19542,68
19543,54
19544,55.5
19545,72
19546,60
19547,54
19742,56
19743,61
19744,65
19745,59
19747,56
19748,56
19749,57
19750,56
19751,57.66667
19752,63
19753,57
19755,62
19942,54
19943,70
19944,56
19945,56
19946,56
19947,56
19948,61
20142,69
20342,93
20343,61
20344,61
20542,60
20543,57
20544,63
20545,68
20546,48
20547,61
20548,61
20742,61
20743,58
20744,61
20942,57
20943,60
20944,72
20945,60
20946,68
20947,72
20948,68
20949,54
21342,68
21343,68
21344,58.5
21345,70
21346,56
21542,61
21543,54
21544,68
21742,61
21743,61
21744,68
21942,62
22142,60
22342,56
22542,57
22543,62
22742,55
22743,61
22744,61
22745,60
22746,56
22747,61
22946,58
22947,61
22948,68
22949,70
22950,57.5
22951,56
22952,57
23151,56
23351,56
23352,70
23353,68
23354,54
23355,68
23356,68
23357,56
23551,56
23552,64
23554,47
23751,67
23752,68
23753,56
23754,47
23951,58
23952,59.33333
24151,45
24551,65
24552,63
24553,60
24554,81
24751,72
24752,56
24753,63
24951,70
24952,60
25151,68
25152,54
25351,60
25352,64
25353,56
25354,54
25551,68
25552,55
25553,48
25554,58
25751,60
25752,56
25951,69
25952,60
26151,63
26152,56
26351,63
26352,56
26551,54
26751,54
26951,55
26952,68
26953,61
27151,67
27351,58
27551,59.5
27552,68
27553,63
27554,60
27555,68
27751,68
27951,61
27952,66
27953,64.5
27954,56
28151,65
28152,66
28153,70
28154,68
28155,57
28351,58
28352,68
28353,56
28354,58
28551,57.5
28552,61
28553,59.5
28554,61
28555,58
28751,60
28752,67
28753,60
28951,72
28952,64.5
28953,47
29151,56
29551,63
29552,61
29553,58
29554,61
29555,71.5
29556,58
29557,60
29558,67
29559,66
29560,54
29951,58
29952,70
29953,68
29954,62
29955,58
29956,69.5
29957,68
29958,59.5
30151,62
30152,54
30153,60
30154,70
30155,62
30351,58
30352,67
30353,68
30354,56
30355,59
30356,93
30551,72
30552,68
30553,61
30554,60
30555,63
31151,47
31152,66.5
31153,54
31353,67
31551,68
31552,64
31553,54
31554,61
31555,58
31751,58
31752,74.5
31951,56
32151,61
32551,68
32552,56
32553,62
32554,67
32954,60
32955,54
32956,56
32957,65
32958,66
33154,66
33156,65
33354,68
33554,59
33754,68
33756,59
33757,67
33956,48
33957,63.5
33958,79
34156,68
34157,60
34158,65
34357,58
34359,60
34360,65
34361,66
34362,61
34363,47
34364,66
34556,59.5
34557,61
34558,67
34559,67
34560,63
34561,62
34756,62
34757,86
34758,94
34956,54
34957,61
35156,68
35356,62.5
35357,56
35358,68
35556,56
35557,54
35558,68
35756,68
35956,61
35957,70
36156,68
36157,58
36158,62.5
36356,68
36556,60.5
36557,54
36558,63
36559,62
36756,68
36757,48
36758,61
36759,56
36760,61
36761,72
36956,61
37156,72
37157,60
37158,67
37356,65
37357,61
37556,58
37756,48
37757,68
37956,63
38156,54
38157,60
38158,67
38159,69
38160,68
38161,64.66666
38356,63
38357,62
38358,60
38359,64.25
38360,82
38361,60
38362,58
38556,93
38557,61.5
38756,56
38758,72
38956,58
38960,61
38961,60
39156,61
39157,54
39158,62
39159,60
39160,57
39161,64
39162,66
39356,68
39357,57.5
39358,66
39556,62
39557,75
39756,93
39958,68
39959,61
39960,65
40156,56
40157,56
40356,45
40556,66
40756,66
40757,61
40758,49
40759,63
40760,80
40956,60
41156,66
41157,61.5
41356,61
41357,62
41556,63
41557,63
41756,68
41757,70
41956,68
41957,56.5
41958,72
42156,59
42356,47
42357,67
42358,70
42359,66
42556,65
42756,64
42757,61
42758,81
42956,80
42957,68
42958,68
43156,70
43157,63
43158,61
43356,48
43556,65
43756,68
43757,53.5
43758,65
43956,67
43957,65
44156,54
44356,54
44357,67
44556,66.5
44557,67
44558,71
44559,61
44756,61.5
44956,59
45156,68
45157,63
45356,76
45357,71
45358,65
45556,56
45756,63
45956,61
45957,68.33334
45958,60
45959,93
45960,53
45961,66
45962,65
46156,70
46157,72
46158,61
46159,61
46556,61
46557,68
46558,54
46756,69
46757,61
46758,62
46956,59
46957,60
46958,47
47156,62
47357,60
47556,61
47756,92
47956,59
48156,68
48356,64.33334
48556,58
48756,66.6
48956,72
48957,62.5
48958,70
49156,60
49157,65
49158,53
49159,58
49160,64.5
49356,61
49357,61
49358,58
49359,59.5
49757,54
49956,54
49957,63
49958,67
49959,64
50156,62
50157,63
50158,68
50356,71
50357,56
50556,67
50557,68
50558,52
50559,67.5
50560,57
50561,68
50758,92
50958,55
50959,67
51158,61
51159,67
51160,67
51359,57
51360,61
51558,67
51758,67
51759,64
51760,55
51761,54
51762,61
51763,68
51764,69.83334
51765,57
51958,65
51959,67
51960,68
51961,62
51962,63
51963,61
51964,61
52158,61
52159,65
52160,68
52358,68
52558,71
52758,63
52759,67
52760,62
52958,72
53158,65
53358,68
53558,56
53559,68.66666
53560,61.5
53561,72
53758,58.5
53958,78
54158,67
54159,70
54358,69
54558,59
54758,68
54759,63
54760,65
54761,69
55158,59
55159,57
55160,69.5
55358,66
55359,63
55360,61.25
55361,65
55362,93
55558,62
55559,68
55758,61
55958,54
55959,68
56158,68
56159,64
56160,64
56161,68
56162,70
56163,63
56358,68
56359,81
56558,70
56958,69
57158,63
57358,57
57359,59.2
57558,54
57758,61
57759,62
57958,67
58158,72
58159,53
58358,69
58558,67
58559,80.5
58758,65
58759,60
58958,60
59358,68
59359,62
59360,70
59361,73
59362,57
59363,69
59558,64
59559,54
59560,49
59561,62.5
59562,68
59758,84.5
59959,63
60158,54
60159,60
60358,65.5
60558,60.33333
60559,65
60560,70
60561,65
60562,73
60758,48
60759,61.5
60760,61
60761,82.33334
60762,93
60958,66
60959,69
60960,65
61158,66
61159,69
61358,56
61558,54
61559,69
61758,68
61958,60
61959,93
61960,71
61961,74
61962,70
61963,65
62158,72
62159,61
62358,67
62558,67.5
62758,62
62958,86
63158,63
63159,63
63358,93
63359,64
63360,62
63558,60
63559,66
63758,67
63958,95
63959,68
63960,68
64158,70
64159,93
64358,46.5
64558,65.5
