cityid,city,pop_ext,ksh_code
31353,"Aba",4619,1737
16547,"Abadszalok",3922,1244
60960,"Abaliget",586,1254
21942,"Abasar",2498,2455
36761,"Abaujszanto",3088,359
98365,"Abaujszolnok",191,2633
112963,"Abaujvar",206,227
26551,"Abda",3201,1188
112566,"Abod",229,1035
8742,"Abony",14876,2787
19544,"Abrahamhegy",445,456
23754,"Acs",6965,442
69785,"Acsa",1443,1857
97571,"Acsad",672,721
88163,"Acsalag",452,3338
71375,"Acsteszer",666,1813
65361,"Adacs",2690,2324
76364,"Adand",2199,608
77963,"Adasztevel",771,730
16548,"Adony",3912,892
84773,"Adorjanhaza",338,3130
103364,"Adorjas",181,686
70761,"Agasegyhaza",2018,1768
60558,"Agfalva",2178,488
69799,"Aggtelek",535,936
44356,"Agyagosszergeny",882,2940
16751,"Ajak",3528,877
2743,"Ajka",29058,667
82767,"Aka",278,668
20744,"Akaszto",3230,2194
69780,"Alacska",748,3309
51963,"Alap",1925,2682
62159,"Alattyan",2101,2526
6746,"Albertirsa",12410,3165
33754,"Alcsutdoboz",1446,1517
94363,"Aldebro",649,634
21543,"Algyo",5251,3424
80765,"Almamellek",428,1332
15145,"Almasfuzito",2174,3234
80167,"Almashaza",69,2338
69965,"Almaskamaras",835,2959
76384,"Almosd",1555,2764
136763,"Alsodobsza",319,1966
29559,"Alsomocsolad",329,1738
77964,"Alsonana",689,2966
19750,"Alsonemedi",5206,2319
87966,"Alsonemesapati",722,1951
85161,"Alsonyek",751,1156
36557,"Alsoors",1474,3052
42756,"Alsopahok",1293,3208
83962,"Alsopeteny",666,1642
90767,"Alsorajk",347,1882
100368,"Alsoregmec",196,2322
71377,"Alsoszentivan",608,2528
86192,"Alsoszuha",479,2883
85776,"Alsotold",243,762
99163,"Alsoujlak",584,2272
73958,"Alsovadasz",1562,2981
17344,"Alsozsolca",5937,2103
70178,"Ambrozfalva",486,1619
69390,"Anarcs",1912,2997
51764,"Andocs",1094,2871
71188,"Andornaktalya",2740,1798
45357,"Annavolgy",935,3422
77767,"Apacatorna",163,2837
70190,"Apagy",2199,2030
45556,"Apaj",1205,3356
70366,"Aparhant",1006,2612
30553,"Apatfalva",2941,1425
94566,"Apatistvanfalva",358,887
32151,"Apc",2552,724
69374,"Aporka",1182,1010
24751,"Apostag",1948,2114
77162,"Aranyosapati",1979,935
120166,"Aranyosgadany",321,688
56358,"Arlo",3686,1433
29551,"Arnot",2544,377
72567,"Arokto",1051,382
93571,"Arpadhalom",488,1906
113363,"Arpas",245,3224
63360,"Artand",502,331
23354,"Asotthalom",3986,1033
69385,"Asvanyraro",1858,2692
71158,"Aszalo",1879,423
9144,"Aszod",6414,1618
72566,"Aszofo",401,733
130565,"Ata",168,2858
81565,"Atany",1351,650
69818,"Atkar",1695,1609
72170,"Attala",830,3273
57359,"Babarc",729,540
76163,"Babocsa",1532,3047
15943,"Babolna",3654,1936
93173,"Babonymegyer",809,2831
95165,"Babosdobrete",498,2126
80163,"Babot",1097,1504
11144,"Bacsalmas",6697,1071
18544,"Bacsbokod",2619,1018
33957,"Bacsborsod",1196,2723
19946,"Badacsonytomaj",2080,2232
78966,"Badacsonytordemic",820,326
14747,"Bag",3883,913
69981,"Bagamer",2478,2001
69835,"Bagod",1329,3036
34556,"Bagyogszovat",1284,2876
20548,"Baj",2870,2921
1822,"Baja",37330,352
80170,"Bajansenye",455,1702
32956,"Bajna",1896,1674
20942,"Bajot",1557,2935
40757,"Bak",1665,473
66759,"Bakonszeg",1160,1516
97168,"Bakonya",379,829
40760,"Bakonybank",424,2424
49358,"Bakonybel",1193,2374
38961,"Bakonycsernye",3097,873
75980,"Bakonygyirot",148,2893
72959,"Bakonyjako",613,2951
95763,"Bakonykoppany",191,728
48756,"Bakonykuti",134,2315
71184,"Bakonynana",1047,2599
90963,"Bakonyoszlop",507,3041
72568,"Bakonypeterd",279,2206
97169,"Bakonysag",46,2990
71380,"Bakonysarkany",941,2522
69980,"Bakonyszentkiraly",804,2281
38356,"Bakonyszentlaszlo",1703,594
29556,"Bakonyszombathely",1421,2238
107966,"Bakonyszucs",319,2641
107163,"Bakonytamasi",591,2412
70170,"Baks",1963,2910
80162,"Baksa",769,397
96167,"Baktakek",718,1818
28152,"Baktaloranthaza",4302,232
100566,"Baktuttos",327,1509
1922,"Balassagyarmat",16133,1365
29951,"Balastya",3423,2367
85764,"Balaton",1038,1152
31152,"Balatonakali",627,2530
5345,"Balatonalmadi",9167,583
32552,"Balatonbereny",1156,2737
7942,"Balatonboglar",5932,3385
121563,"Balatoncsicso",218,307
69854,"Balatonederics",1013,1223
61958,"Balatonendred",1339,1946
19542,"Balatonfenyves",1844,2072
61158,"Balatonfokajar",1332,2946
10744,"Balatonfoldvar",2064,711
2944,"Balatonfured",13532,2117
13744,"Balatonfuzfo",4299,221
38160,"Balatongyorok",1113,1700
20543,"Balatonkenese",3195,514
69775,"Balatonkeresztur",1450,737
8342,"Balatonlelle",4735,3386
86174,"Balatonmagyarod",480,2646
22142,"Balatonmariafurdo",657,1456
71192,"Balatonoszod",508,1191
88964,"Balatonrendes",119,3384
37556,"Balatonszabadi",2956,1660
16947,"Balatonszarszo",1885,2490
11347,"Balatonszemes",1773,2282
46757,"Balatonszentgyorgy",1564,2132
80761,"Balatonszepezd",409,1715
69770,"Balatonszolos",628,2850
61558,"Balatonudvari",314,1556
116363,"Balatonujlak",521,1647
20743,"Balatonvilagos",1179,355
109566,"Balinka",945,3110
19347,"Balkany",6215,2695
68158,"Balloszog",3418,1340
14342,"Balmazujvaros",17354,291
71166,"Balogunyom",1190,510
70182,"Balotaszallas",1497,2593
86971,"Balsa",841,1596
84762,"Balvanyos",529,2445
58159,"Bana",1589,3142
52158,"Band",673,1417
69762,"Banhorvati",1335,2515
22946,"Bank",662,2434
74364,"Banokszentgyorgy",642,843
76183,"Banreve",1271,2195
65358,"Bar",534,2437
85366,"Barabas",746,2648
24553,"Baracs",3484,704
64558,"Baracska",2766,858
46158,"Barand",2530,2669
129564,"Baranyajeno",489,2474
71760,"Barbacs",716,619
6744,"Barcs",11378,3279
87762,"Bardudvarnok",1202,373
71172,"Barna",1053,2004
106564,"Barnag",116,1577
69779,"Barsonyos",738,862
28751,"Bata",1692,1171
107768,"Bataapati",396,2890
10345,"Bataszek",6388,886
63959,"Bate",832,3233
49356,"Batmonostor",1504,365
14746,"Batonyterenye",12604,3353
71379,"Bator",407,2402
89363,"Batorliget",643,299
15146,"Battonya",5565,1810
47556,"Batya",2023,1196
70201,"Batyk",393,2486
70194,"Bazakerettye",826,1869
116963,"Bazsi",388,742
93164,"Beb",254,2290
51964,"Becsehely",2066,2314
93764,"Becske",518,1201
59560,"Becsvolgye",768,1836
115764,"Bedo",252,3344
77965,"Bejcgyertyanos",453,1038
110564,"Bekas",231,2705
34364,"Bekecs",2391,692
8947,"Bekes",19763,976
392,"Bekescsaba",63752,1520
69841,"Bekessamson",2318,2618
17542,"Bekesszentandras",3765,268
93765,"Bekolce",637,440
36556,"Belapatfalva",2996,3326
79961,"Belavar",342,691
19743,"Beled",2553,1058
84771,"Beleg",597,1712
87162,"Belezna",785,916
90364,"Belmegyer",981,1939
27555,"Beloiannisz",1100,846
103963,"Belvardgyula",402,1900
46557,"Benye",1221,2509
122763,"Ber",377,3291
97566,"Berbaltavar",493,3212
70561,"Bercel",2111,238
50556,"Beregdaroc",735,2824
93564,"Beregsurany",644,2067
115365,"Berekboszormeny",1749,1846
21742,"Berekfurdo",1010,3400
30551,"Beremend",2594,3192
74158,"Berente",1117,3429
11543,"Berettyoujfalu",15167,1278
24551,"Berhida",5967,3312
70191,"Berkenye",637,903
83763,"Berkesd",864,1646
70180,"Berkesz",908,747
55958,"Bernecebarati",848,1877
73763,"Berzek",1145,2635
69970,"Berzence",2502,3011
97764,"Besenyod",642,1363
72173,"Besenyotelek",2569,2751
31551,"Besenyszog",3372,1130
30155,"Besnyo",1779,1634
95168,"Beszterec",980,2122
