group_gravity,group_gravity_log,P_d__all_log,P_d_1_log,P_d_2_log,P_d_345_log,line1,line2,line3
1,1.83e-10,-5.017583,-4.098203,-4.714233,-4.944163,-4.65,-4.85,-4.9
5,.69897,-5.591654,-4.874937,-5.430847,-5.534781,-4.859691,-5.374228,-5.668867
10,1,-5.905644,-4.959072,-5.671137,-5.863699,-4.95,-5.6,-6
15,1.176091,-6.24614,-5.026785,-5.854594,-6.23873,-5.002827,-5.732069,-6.1937
20,1.30103,-6.293492,-5.063289,-5.863625,-6.27878,-5.040309,-5.825773,-6.331133
25,1.39794,-6.336078,-5.014359,-5.828771,-6.30815,-5.069382,-5.898455,-6.437734
30,1.477121,-6.530393,-5.113086,-5.98248,-6.5172,-5.093136,-5.957841,-6.524833
35,1.544068,-6.536516,-5.041482,-5.924562,-6.51084,-5.11322,-6.008051,-6.598475
40,1.60206,-6.691868,-5.09123,-6.052655,-6.687415,-5.130618,-6.051545,-6.662266
45,1.653213,-6.723317,-5.056856,-5.991225,-6.723228,-5.145964,-6.08991,-6.718534
50,1.69897,-6.852282,-5.184532,-6.14679,-6.863582,-5.159691,-6.124228,-6.768867
55,1.740363,-6.886296,-5.140466,-6.110194,-6.900536,-5.172109,-6.155272,-6.814399
60,1.778151,-6.960268,-5.205632,-6.253498,-7.023065,-5.183445,-6.183613,-6.855967
65,1.812913,-6.990168,-5.204512,-6.206804,-7.015563,-5.193874,-6.209685,-6.894205
70,1.845098,-7.007946,-5.139411,-6.165225,-7.024509,-5.203529,-6.233823,-6.929608
75,1.875061,-7.071332,-5.2355,-6.244747,-7.114471,-5.212518,-6.256296,-6.962567
80,1.90309,-7.068821,-5.209069,-6.253362,-7.128626,-5.220927,-6.277318,-6.993399
85,1.929419,-7.07403,-5.033152,-6.174136,-7.102541,-5.228826,-6.297064,-7.022361
90,1.954242,-7.074046,-5.196146,-6.241308,-7.127326,-5.236273,-6.315682,-7.049667
95,1.977724,-7.139941,-5.198866,-6.304064,-7.177361,-5.243317,-6.333292,-7.075496
100,2,-7.145988,-5.165263,-6.279984,-7.189942,-5.25,-6.35,-7.1
105,2.021189,-7.098738,-5.226458,-6.348034,-7.217678,-5.256357,-6.365892,-7.123308
110,2.041393,-7.162458,-5.185379,-6.334427,-7.246639,-5.262418,-6.381044,-7.145532
115,2.060698,-7.223136,-5.147286,-6.364993,-7.254312,-5.268209,-6.395524,-7.166768
120,2.079181,-7.209185,-5.148341,-6.380614,-7.273801,-5.273754,-6.409386,-7.187099
125,2.09691,-7.292243,-5.184715,-6.410275,-7.321372,-5.279073,-6.422682,-7.206601
130,2.113943,-7.211239,-5.194778,-6.388334,-7.276668,-5.284183,-6.435458,-7.225338
135,2.130334,-7.317973,-5.258384,-6.417953,-7.351106,-5.2891,-6.44775,-7.243367
140,2.146128,-7.248874,-5.270193,-6.415393,-7.319895,-5.293839,-6.459596,-7.260741
145,2.161368,-7.162319,-5.224931,-6.391426,-7.261924,-5.29841,-6.471026,-7.277505
150,2.176091,-7.315451,-5.190137,-6.486661,-7.370481,-5.302827,-6.482069,-7.2937
155,2.190332,-7.322192,-5.255727,-6.503104,-7.378754,-5.307099,-6.492749,-7.309365
160,2.20412,-7.179574,-5.270828,-6.424297,-7.330814,-5.311236,-6.50309,-7.324532
