"cityid_new","cityid","latitude","longitude","pop","tempo_cut.x","seq_a","seq_d","SSa","SSd","mt","pa","qa.x","qd.x","xd","qa.y","qd.y","qa_inv","tempo_cut.y"
1,379,47.50623,19.06482,1740041,40,46,114,0.000809943137662106,0.00621840284627262,0.4355629,0.000234274475900976,0.112727221499721,0.0665669483094909,7.08378087244915e-05,0.0412797725337,0.0665738472587,0.0476945388176,40
2,380,47.53441,21.61932,207594,44,54,116,0.000498592923992549,0.00463184209700671,0.41576373,0.000119082894390656,0.113694698650147,0.0645936762227608,7.90593543724122e-05,0.0558905775632,0.064552029534,0.0466601640756,44
4,381,48.10563,20.79056,166823,51,56,118,0.000775560664179376,0.00536162366452713,0.4232531,0.000104123373700177,0.126078511224651,0.0668746227119519,6.22126236506764e-05,0.0429075171966,0.0695714646423,0.0526852736129,51
3,382,46.25428,20.14841,170052,44,50,116,0.000298984656630907,0.00301060005355158,0.35805678,9.5179338436904e-05,0.116275377259162,0.0696191620933507,3.90846800409723e-05,0.0368103260656,0.0668430477688,0.0504422101011,44
5,383,46.07308,18.22857,156801,44,50,114,0.000747432589030825,0.00438343143475361,0.414665,0.000270280818060376,0.100964480979742,0.0624548460548304,0.000107645768181518,0.0243323471816,0.0624062889186,0.0451785507284,44
6,384,47.68383,17.63568,131564,44,51,114,0.000706550628063307,0.00550045394495432,0.4317735,0.000149413876613203,0.114263204288365,0.0630444893145292,0.00010181792510335,0.0398465828546,0.0629932601225,0.0481782322659,44
7,385,47.95922,21.71826,117658,44,54,115,0.000545685856125852,0.0041440005846518,0.416742,0.000141001752588329,0.108212517835312,0.0630041541034155,9.4792410200799e-05,0.051769075573,0.0629549244753,0.044755691784,44
8,386,46.90464,19.68663,114226,53,56,119,0.000308060010637879,0.00268489446264345,0.35793025,9.39211649155404e-05,0.117736098423736,0.07258303715204,2.71159003455086e-05,0.0119517247633,0.0725373846611,0.0536809572004,53
9,387,47.19611,18.41039,101722,51,52,116,0.000471476692442672,0.0043296450028485,0.4169796,9.29831203823556e-05,0.123316622627563,0.0719754928421886,3.41058519973759e-05,0.0389905633866,0.0719455247347,0.0566893907679,51
10,388,47.22805,16.61574,79348,51,54,115,0.000406779570550679,0.0037680422253265,0.4096632,7.98157828154053e-05,0.122132150244668,0.070786199762741,4.12195056520824e-05,0.0473288417699,0.070742924566,0.0560496468004,51
11,389,47.1773,20.19453,74341,51,56,119,0.000287387595505315,0.00263761210712187,0.3484222,7.89845746955323e-05,0.120595684028234,0.070184498025294,3.46545960521674e-05,0.0408959389985,0.0701382906435,0.0533071557851,51
12,390,47.58678,18.39745,70003,53,56,118,0.000315531733112429,0.00247116979191307,0.3414856,8.30253776630091e-05,0.12129219638149,0.0725152307987316,2.86016648152795e-05,0.00867788494213,0.0724732583771,0.0535869440105,53
13,391,46.35528,17.78527,67686,53,55,115,0.000443660780249218,0.00327690290538271,0.4096122,9.90452484344722e-05,0.116360050840325,0.0687500869003014,5.00001519626416e-05,0.00763995891708,0.068684576464,0.052653383037,53
16,392,46.68209,21.09972,63752,53,57,120,0.000310952646606673,0.00282439142133405,0.3367653,7.93224039152172e-05,0.126882025621838,0.0702954249134888,3.51542580713323e-05,0.018027439771,0.0714842022519,0.0555831290883,53
17,393,46.84533,16.84666,61849,44,53,113,0.000493822118097947,0.00499457927299906,0.4097529,5.86125971139309e-05,0.133808195831147,0.0718980376014232,3.25368773585317e-05,0.057997608176,0.0617376288358,0.0485689606467,44
15,394,47.11676,17.66729,64024,51,53,117,0.000268429008217849,0.00276899036702125,0.3398643,4.87557019310057e-05,0.129457874562783,0.0715414669014382,2.80078339254897e-05,0.0470627400718,0.0718682608319,0.0597349598436,51
14,395,47.41186,18.88587,65277,51,54,119,0.000584151742552522,0.00541340236575731,0.4345259,0.000104205498150809,0.118542193287807,0.0617974194082551,0.000120013704141028,0.0395695286525,0.0702619480191,0.0585400132215,51
19,396,47.899,20.37345,56166,53,53,115,0.000540078878727419,0.00469213257142034,0.399707,0.000127711667188214,0.115130528391335,0.065430145381582,7.43341008323641e-05,0.0106794856078,0.0700483877857,0.0577750014084,53
18,397,47.68142,16.59332,61390,44,53,115,0.000470583565766202,0.00480332874971586,0.4255774,6.43465919541036e-05,0.129844633966281,0.07010252213417,4.36210139810655e-05,0.0500331086862,0.0653914182249,0.0487134869103,44
21,398,46.96451,18.93965,48010,51,55,117,0.000393967480188529,0.00305107298688541,0.3879557,7.08415815113133e-05,0.121115527322361,0.0694335660185071,4.32580870001106e-05,0.0374394763173,0.0728973632488,0.0536921272449,51
20,399,46.45501,16.99283,49302,53,56,117,0.000409427522141341,0.00330590748962405,0.3936679,9.85203920887045e-05,0.116871740866311,0.0729313904936986,2.84851077484625e-05,0.0202392059525,0.0693646591008,0.0545383440731,53
46,1682,47.66572,19.07822,26250,42,49,117,0.00032925075605006,0.00289773040557987,0.3512532,7.12120728561368e-05,0.122436244642156,0.0711177247126315,3.05810318515562e-05,0.0382003807472,0.0669292894981,0.0533029308311,42
37,1702,47.80024,18.74139,30434,40,55,117,0.000463964126603146,0.00334015633146679,0.3411771,7.94462852289485e-05,0.134953091268245,0.073675504936676,2.36348123017984e-05,0.0637896706199,0.06970034296,0.0430179051752,40
94,1722,47.51507,18.93417,14507,51,52,118,0.000241730685592109,0.00177710959819447,0.3058126,0.000134811973859433,0.108668798633462,0.0712541819798985,2.82616866530564e-05,0.0184931600354,0.0654249639557,0.0558129230246,51
28,1742,47.7803,19.13119,34810,51,53,117,0.000498902573369971,0.00267566995634203,0.3842485,8.556430478612e-05,0.12441761642356,0.0706227822970863,3.7792027587082e-05,0.0280254362349,0.0714937755463,0.0550315073534,51
39,1762,47.46026,18.95289,29605,51,51,118,0.000309802339502332,0.00220170390252083,0.3357829,7.14822145625562e-05,0.120603844385021,0.0692238979378451,4.18612582564389e-05,0.0180679520902,0.0663984680574,0.056629360902,51
29,1782,47.60047,19.35715,34172,51,52,119,0.000323832452198618,0.00271488709919403,0.339995,9.63075034850906e-05,0.1232684160654,0.0734977689928486,2.49509489150412e-05,0.0220587059009,0.0690734246468,0.0553269041289,51
74,1802,47.64382,19.03034,17101,51,54,118,0.000408832869793714,0.00283667247612992,0.3567079,0.000103413989804684,0.123286125337775,0.0715326778377078,3.30370582804396e-05,0.0414258485637,0.0700492774301,0.0618151577639,51
25,1822,46.1772,18.95193,37330,53,54,117,0.000395905108144621,0.00305717116859072,0.327549,0.000127644780445994,0.122844302417482,0.0691309034872756,3.89784924323745e-05,-0.0113642913097,0.0705631328903,0.0523259763775,53
31,1842,46.34854,18.70213,33311,51,54,118,0.000191681939459825,0.00106672042866096,0.2537776,4.50493570657685e-05,0.123446293690692,0.0700254137551443,2.96142095139243e-05,0.0404838123836,0.0706489532978,0.0567668179696,51
33,1862,47.77503,19.93002,32385,53,55,118,0.000430824109504999,0.00417104495907713,0.3905917,6.11655072071943e-05,0.130691652643981,0.0706964010252662,3.55113812396383e-05,0.016714089412,0.0737495078021,0.0563367879908,53
23,1882,47.62908,19.1412,40334,51,50,119,0.000334116147206121,0.00319353348268825,0.3937655,0.000106468197933907,0.110600149681938,0.0675840216403911,5.91741194720008e-05,0.0308495991637,0.0736406867117,0.0620252157627,51
27,1902,47.3483,19.04205,34877,51,54,118,0.000331736593115628,0.00319732029588584,0.3622978,6.81189517681552e-05,0.125637372876435,0.0737931385430909,2.5021962545727e-05,0.0363734031784,0.0734626213788,0.0572994277287,51
86,1922,48.07691,19.29089,16133,57,56,116,0.000302922399377446,0.00284407483162748,0.3766693,6.87478788144707e-05,0.117365575033737,0.0729582427362761,2.78130189661451e-05,0.0195803791634,0.0689632258409,0.0598981485307,57
137,1942,47.62047,19.04625,10510,42,50,118,0.000292572792998932,0.00232400833877191,0.3339754,6.08273057293338e-05,0.125796187477233,0.0714232372675845,2.84929038400407e-05,0.0369243561077,0.070916699891,0.0512815207526,42
50,1962,46.90647,18.05407,24375,51,55,116,0.00019018257742243,0.00116932124717004,0.2741321,0.00025507227422451,0.0821606889376532,0.0761050002061839,1.36694894971612e-05,0.0384390937817,0.06880751058,0.0543938628595,51
48,1982,47.64583,18.33204,24906,51,55,118,0.000334470796430271,0.00222422350672082,0.3328186,0.000171817002740407,0.107350698478271,0.0697148259265634,4.04787926574224e-05,0.04361284381,0.0719064933967,0.0574307399016,51
45,2002,47.50096,19.91455,26924,53,57,121,0.000206605169428444,0.00152488449482977,0.3098894,0.000124354437920944,0.104776193395621,0.0741702375857264,2.05209239103966e-05,0.0149278185825,0.0753232269264,0.0548746699131,53
141,2003,47.59262,18.93824,10282,40,52,119,0.000447820169806218,0.00234719960193229,0.3177838,0.000133746084853568,0.123942395535348,0.0664750025602899,5.58752970560798e-05,0.0684868326614,0.0684777460465,0.0553813816432,40
69,2022,47.70754,19.13683,18565,51,53,120,0.000323372436857099,0.0025641144967285,0.3580426,6.24745371410405e-05,0.12330960877415,0.0767170169794104,1.64974005456333e-05,0.0491507034145,0.0717187161503,0.0614813361407,51
35,2023,46.64623,21.28395,31679,53,57,120,0.000308807891802549,0.00235261250472653,0.33715,6.30291148861965e-05,0.122001079419028,0.0737820758442894,2.21194762284764e-05,0.0100326463072,0.0713675954422,0.055376649108,53
100,2042,47.43443,18.91504,13587,51,53,118,0.000335259785067384,0.00306933573062334,0.3596857,1.97170880059639e-05,0.147400080950159,0.0702226345413323,3.85600031363147e-05,0.0329842507374,0.0669894167695,0.0592331247063,51
24,2062,47.17012,19.79739,37778,51,58,120,0.000355450098836214,0.00297374400180199,0.3499788,3.21311795949123e-05,0.138763759721173,0.0710778475705373,3.1488359551948e-05,0.0316486251151,0.0712085707883,0.0499209684681,51
56,2063,46.76546,17.24335,20895,53,54,116,0.000314804409844788,0.00194723962379584,0.3332399,5.66149778349192e-05,0.126943605232738,0.0730667506114795,2.36339024528072e-05,0.0105560426563,0.069147607967,0.056815465637,53
66,2082,47.31797,18.90964,18896,51,53,116,0.000269572756235788,0.00219756049444585,0.318043,8.22973553271591e-05,0.121124174479628,0.075356946182908,1.77973364788492e-05,0.0418633236216,0.0727876424455,0.0593573196768,51
63,2083,46.62365,18.85818,19510,53,53,119,0.000480510134552529,0.00255258272343543,0.3467433,0.000122284324901703,0.127538355455116,0.066955860046406,5.68903690500802e-05,0.00526317889563,0.0743349484757,0.0549770169199,53
32,2084,47.87562,17.26819,32720,53,56,114,0.000360602763445641,0.00232375084705605,0.3435653,0.000177664324203951,0.0980406113446218,0.06737952751749,4.97221785237111e-05,0.0307576495264,0.0674967575612,0.0540742056863,53
64,2102,46.37532,18.13044,19494,53,57,118,0.000281828838278091,0.00229861349497546,0.333857,7.8165156848153e-05,0.125379931790426,0.071946345127761,3.05203774319178e-05,0.0119210237617,0.0707998531896,0.0529551116383,53
26,2103,48.10514,19.80842,36467,53,58,117,0.000222376084923402,0.0015722305464782,0.2838375,0.000157127871213338,0.0982452076093432,0.0742421685682421,1.80974456428741e-05,0.0169704638046,0.0691500136019,0.0531730691144,53
83,2104,47.93496,21.03765,16557,53,54,116,0.00038491761754981,0.00290561062955231,0.3740308,9.24399513964504e-05,0.120210798382599,0.0688686376004996,4.69421162445311e-05,0.0286736909192,0.0738238505818,0.0585652862056,53
58,2105,47.35281,19.09586,20260,53,54,119,0.000349722254563359,0.00260088754565667,0.3678784,3.80156917533159e-05,0.132718579125296,0.070227121485721,3.78080749726762e-05,0.00763577221847,0.0737564732958,0.0579720680738,53
106,2122,48.32101,21.56773,12590,51,56,118,0.000248200739984634,0.00214731967049102,0.3187435,4.74916430853027e-05,0.130856207456246,0.0708309469665318,3.21284787054914e-05,0.0377003745243,0.0687224155029,0.0552442548082,51
34,2142,47.32833,17.4696,32052,58,58,118,0.000266321352215985,0.00231761266799744,0.3191472,8.82831994204309e-05,0.114166362630527,0.0701052228294825,3.23911423469336e-05,0.00872278691332,0.0728706945726,0.0556589786136,58
38,2143,46.71104,19.84541,29972,51,60,120,0.000188447080337214,0.00109162175200774,0.2588985,8.82579532784648e-05,0.113653954462858,0.0719213865494325,2.29867390220328e-05,0.0459958372971,0.0741362398948,0.0499515754286,51
22,2144,46.41703,20.32887,46522,53,56,120,0.000253663099692146,0.00211802426824385,0.3133899,7.03672006116471e-05,0.126702808957839,0.0735415420463681,2.24171158603287e-05,0.0132662386175,0.0710565787948,0.053606483364,53
42,2145,48.25275,20.62286,28664,58,57,117,0.000412981401482426,0.00402811479515062,0.4012932,6.33223003653303e-05,0.12830727275783,0.0692204494533554,4.77187983776533e-05,-0.0250872760412,0.0700996450214,0.0566484456907,58
97,2146,47.62135,18.91058,13768,53,55,118,0.000333683447587004,0.0027835031605438,0.3583839,7.66250924551718e-05,0.118053863058239,0.073268204494794,2.52288185470797e-05,0.0275407376597,0.0702633235775,0.0621174495297,53
44,2147,46.43016,19.47782,28427,53,57,120,0.00032862827180593,0.00250950083604484,0.3274929,0.000112301444469068,0.120075273213756,0.0738009699365532,2.26625177022388e-05,0.0150916938872,0.073018974876,0.054940717752,53
171,2342,47.632,18.82559,8381,40,54,121,0.000302177991779137,0.00260632428046602,0.3307669,6.93093501524557e-05,0.12329672520853,0.0731127014413214,2.46494386270996e-05,0.0576538547954,0.0700999596179,0.0503185860906,40
62,2343,47.74451,18.1193,19729,51,56,118,0.000274435115651655,0.00123182061910512,0.2772796,0.000162413655253528,0.101799656786062,0.0759170695336144,1.50200346782214e-05,0.0351130764528,0.0724333509435,0.054420376192,51
77,2742,46.5271,18.97668,16959,58,57,120,0.000207569760667995,0.00118083224745716,0.2734409,0.00012131002496058,0.104424755852994,0.07340578098588,1.91398627379146e-05,-0.00504377547264,0.0698545199935,0.0581213224707,58
40,2743,47.10591,17.56506,29058,53,57,119,0.000325417192018837,0.00281041492658208,0.3397538,7.75035609935729e-05,0.122504428419487,0.0724732338783427,2.91206446960193e-05,0.0226398041241,0.0766845198367,0.0542195244158,53
197,2744,47.57589,18.88586,6895,42,52,120,0.000557874000226347,0.00399535909948461,0.3943625,0.000121851461833979,0.118792431667908,0.0743746838756523,2.28830572439065e-05,0.0413388848599,0.0651548447388,0.0592027285599,42
65,2942,47.61147,19.19429,18968,51,54,119,0.000386264280816317,0.00284106526838407,0.3768343,5.32240489742795e-05,0.127890287457892,0.0708584888277342,3.4694957300557e-05,0.036599566429,0.0703746852419,0.0600998581886,51
88,2943,47.4901,19.3332,15437,51,55,120,0.000363666542113092,0.00296390302997446,0.3266017,5.335938125392e-05,0.138287804502504,0.0704270516562532,3.36724209191737e-05,0.0435214121951,0.0709572899012,0.0587243584059,51
101,2944,46.9618,17.87685,13532,51,55,119,0.000496470023462669,0.00320410694038407,0.3938396,4.39149819815206e-05,0.140905944259821,0.0728272103278684,3.01799254817522e-05,0.037541011226,0.0689585784595,0.0562914135482,51
59,3142,47.66619,19.6656,20259,53,57,119,0.00025477606277302,0.00148206504072923,0.2921566,6.70987853302362e-05,0.123095273519569,0.0698365111412101,3.73670285021082e-05,0.0151143255179,0.0730631114596,0.0544450792509,53
51,3143,46.21534,20.47467,23573,53,57,117,0.000368154219801226,0.00254197254706652,0.3582036,7.32116055011078e-05,0.123436011020193,0.0653253822599091,6.70108699448921e-05,0.0230454414632,0.070159096699,0.0555212755473,53
112,3342,47.39098,16.54116,12055,54,58,118,0.000309997891723799,0.00257281317854183,0.3147863,7.27046686409243e-05,0.133082867509252,0.0717615030487911,2.7997733897083e-05,0.0128499240219,0.0692795216401,0.0545316716738,54
96,3542,47.37448,18.21443,14255,58,57,119,0.000234272771986584,0.00167777984026055,0.3029634,0.000111571288269347,0.112612981066996,0.0715439503707243,2.74113831837724e-05,0.0113799735437,0.0804733917488,0.056388976366,58
85,3543,48.22609,22.07945,16473,58,56,113,0.000308545379395347,0.00245816923953308,0.3364315,7.4421979192744e-05,0.122332286974038,0.0699676763063448,3.80741954965994e-05,-0.0167610027733,0.0646271788495,0.0523649819115,58
79,3742,47.65497,19.28734,16892,51,54,119,0.000173322318892396,0.00107749734815727,0.2614957,7.72995529464566e-05,0.10928441193849,0.0750462837022394,1.51396307153439e-05,0.0396044468906,0.0708645948655,0.0596041513043,51
41,3942,46.55923,20.66913,28910,53,58,120,0.000201311097059452,0.00146563232992246,0.2789989,0.000185755987513362,0.0949910441426539,0.0792032739340477,9.61150845407381e-06,0.0206438942361,0.0737371577805,0.0538362392494,53
104,3943,47.47375,18.83558,12805,51,53,120,0.000314272774511875,0.00220396307818049,0.3173498,7.49444439836957e-05,0.132086983687806,0.0701027732984681,3.62073613979389e-05,0.0341225662876,0.0756478303025,0.0593874926609,51
30,3944,48.21915,20.28152,33750,58,63,121,0.000228578879955034,0.00206901276344502,0.3092266,3.51326487111255e-05,0.135427993167186,0.0710369328081307,2.8811781099774e-05,-0.00153162565494,0.0698999067666,0.0538013378025,58
168,3945,46.80666,18.92552,8666,54,58,121,0.000314788425203203,0.0017981830517362,0.31028,0.000200544125730258,0.0918600344604539,0.075394339333166,1.66998594769692e-05,0.0136348403198,0.0744466592383,0.0493712589833,54
149,4142,47.91629,19.69752,9569,53,58,120,0.000279752494418257,0.00249418998314814,0.349667,4.6516564861405e-05,0.129014431304044,0.0699518743772627,3.45577713571627e-05,-0.00480474986619,0.0673103329144,0.0564568248029,53
81,4143,47.19215,19.33042,16813,51,59,120,0.000530283529994437,0.00363428176622571,0.4085626,6.47064576806843e-05,0.121446179654622,0.0626850322414168,9.98942812557016e-05,0.0388460699734,0.0739444561697,0.0506809313702,51
55,4144,47.40532,19.25568,20910,51,56,120,0.000329799895691535,0.00268677993384712,0.3183169,7.58367305480466e-05,0.13088153529762,0.0709116556109561,3.1944523340815e-05,0.0446976864716,0.0735042335553,0.0576951032156,51
87,4342,46.88259,17.4387,15596,58,57,116,0.000279192801435237,0.00219948596792077,0.3176424,5.60974417381615e-05,0.126653207289872,0.0725714497965278,2.41322347749932e-05,0.00333260047153,0.0721801303473,0.056757318037,58
84,4542,47.80827,20.56795,16538,51,58,122,0.000220919913755248,0.0013662011339178,0.294178,0.000114967447889592,0.110602545263111,0.073977673432829,2.08201436747404e-05,0.0486701043275,0.0748520230946,0.055119659028,51
120,4543,47.49139,18.63766,11642,53,56,119,0.000255162302620682,0.00258779871284705,0.3091194,0.000109953452806461,0.113204371064726,0.0730011371979259,2.31989258080728e-05,0.0126203093245,0.0685809561029,0.0563464754737,53
116,4544,47.54522,19.26331,11975,51,54,120,0.000430430925573842,0.0046723901378265,0.4384252,4.18700919018141e-05,0.13469473026004,0.0738663000275306,2.776618034587e-05,0.0370556584327,0.0744559438994,0.0604707946029,51
98,4742,46.29728,18.53926,13741,53,56,120,0.000194412596882822,0.00219811404323812,0.2847386,7.14957572875498e-05,0.122185469018449,0.0748832790865942,1.67018393451691e-05,0.00759569026863,0.0773683877738,0.0543551092472,53
67,4743,47.48809,18.31646,18627,53,59,118,0.000644731842922915,0.00411157795691502,0.4455773,4.79731984483649e-05,0.127646937948832,0.0648357405786266,8.52194434490095e-05,0.0124168554189,0.0697688697813,0.053775904177,53
53,4744,47.44375,21.38927,23309,53,59,120,0.000331194992797599,0.00302587590964803,0.372901,6.0784656800498e-05,0.124490361858884,0.0690687911835949,4.64109757849695e-05,0.0197463589494,0.0700370984695,0.0513144928581,53
70,4942,47.35014,19.44669,18395,51,58,120,0.0004207166950653,0.00299387359749648,0.4014491,4.74442205189309e-05,0.127440025280341,0.0722786982011014,3.25781970063696e-05,0.0357612543419,0.0714998932491,0.0524781379494,51
150,5142,47.40759,18.95212,9522,51,54,121,0.000278713391680706,0.0019645591641185,0.2983094,7.26538302671388e-05,0.129943462334319,0.0710065759513748,2.92937051978669e-05,0.0453162588711,0.0657632910123,0.0640521524302,51
143,5143,47.15876,18.94481,10022,51,56,120,0.00028472035861043,0.00170136859826861,0.3157933,9.59674848634957e-05,0.111229166249025,0.074632800182022,2.05889031479924e-05,0.0368544614857,0.0675862339222,0.0570520043696,51
317,5144,47.60857,18.89961,4360,51,54,120,0.000326369786180843,0.00205246305557742,0.3274877,5.72442675910512e-05,0.122458583383295,0.0691674162202757,3.49304531046888e-05,0.022567739516,0.0661263124809,0.0601473463626,51
